Network Name,MCC,MNC,IMSI_PREFIX,Realm,Country,Valid_From,Valid_To
"Viva, Kuwait",419,01,41901,,Kuwait,,
"Sky Mobile, Kyrgyzstan",437,01,43701,,Kyrgyzstan,,
"Nur Telecom, Kyrgyzstan",437,09,43709,,Kyrgyzstan,,
"Bite, Latvia",247,05,24705,,Latvia,,
"Econet Ezi Cel, Lesotho",651,02,65102,,Lesotho,,
"Bite UAB, Lithuania",246,02,24602,,Lithuania,,
"Celcom Telecommunications, Liberia",618,07,61807,,Liberia,,
"Comium, Liberia",618,04,61804,,Liberia,,
"Al Madar Al Jadeed, Libya",606,01,60601,,Libya,,
"Orange, Liechtenstein",295,02,29502,,Liechtenstein,,
"Entreprise des Postes et Télécommunications, Luxemburg",270,01,27001,,Luxembourg,,
"CTM, Macau",455,01,45501,,Macau,,
"T-Mobile, Macedonia",294,01,29401,,Macedonia,,
"Vip Operator DOOEL Skopje, Macedonia",294,03,29403,epc.mnc010.mcc219.3gppnetwork.org,Macedonia,,
"Airtel (Madacom), Madagascar",646,01,64601,,Madagascar,,
"Orange, Madagascar",646,02,64602,,Madagascar,,
"Telma Mobile, Madagascar",646,04,64604,,Madagascar,,
"Celcom, Malaysia",502,13,50213,,Malaysia,,
"Maxis Communications Berhad, Malaysia",502,12,50212,epc.mnc012.mcc502.3gppnetwork.org,Malaysia,,
"DiGi, Malaysia",502,16,50216,,Malaysia,,
"Smart Axiata (Malaysia Telcom), Cambodia",456,02,45602,epc.mnc002.mcc456.3gppnetwork.org,Cambodia,,
"Smart Axiata (Malaysia Telcom), Cambodia",456,02,45602,epc.mnc006.mcc456.3gppnetwork.org,Cambodia,,
"Smart Axiata (Malaysia Telcom), Cambodia",456,06,45606,epc.mnc002.mcc456.3gppnetwork.org,Cambodia,,
"Smart Axiata (Malaysia Telcom), Cambodia",456,06,45606,epc.mnc006.mcc456.3gppnetwork.org,Cambodia,,
"U Mobile, Malaysia",502,18,50218,,Malaysia,,
"Wataniya, Maladives",472,02,47202,,Maldives,,
"Malitel, Mali",610,01,61001,,Mali,,
"Orange, Mali",610,02,61002,,Mali,,
"Vodafone, Malta",278,01,27801,epc.mnc028.mcc901.3gppnetwork.org,Malta,,
"Vodafone, Malta",901,28,90128,epc.mnc028.mcc901.3gppnetwork.org,Malta,,
"Vodafone, Malta",901,19,90119,epc.mnc028.mcc901.3gppnetwork.org,Malta,,
"Emtel, Mauritius",617,10,61710,,Mauritius,,
"Cellplus Mobile Communications, Mauritius",617,01,61701,epc.mnc001.mcc617.3gppnetwork.org,Mauritius,,
"Pegaso PCS (Telefonica Moovstar), Mexico",334,030,334030,,Mexico,,
"NII Digital (Nextel 3G), Mexico",334,090,334090,,Mexico,,
"Monaco Telecom (VALA), Monaco",212,01,21201,,Monaco,,
"Cable and Wireless, Montserrat",354,860,354860,,Montserrat,,
"Crnogorski Telekom (MONET, T-Mobile), Montenegro",297,02,29702,,Montenegro,,
"Mocambique Celular (MCEL), Mozambique",643,01,64301,,Mozambique,,
"Vodacom, Mozambique",643,04,64304,,Mozambique,,
"MTC, Namibia",649,01,64901,,Namibia,,
"Powercom, Namibia",649,03,64903,,Namibia,,
"KPN, Netherlands",204,08,20408,epc.mnc008.mcc204.3gppnetwork.org,Netherlands,,
"T-Mobile, Netherlands",204,20,20420,,Netherlands,,
"T-Mobile, Netherlands",204,16,20416,,Netherlands,,
"Telfort, Netherlands",204,12,20412,,Netherlands,,
"Vodafone, Netherlands",204,04,20404,epc.mnc004.mcc204.3gppnetwork.org,Netherlands,,
"Two Degrees Mobile, New Zealand",530,24,53024,,New Zealand,,
"Spark, New Zealand",530,05,53005,epc.mnc005.mcc530.3gppnetwork.org,New Zealand,,
"Empresa Nicaraguense de Telecomunicaciones (ENITEL), Nicaragua",710,21,71021,,Nicaragua,,
"Empresa Nicaraguense de Telecomunicaciones (ENITEL), Nicaragua",710,73,71073,,Nicaragua,,
"Telecel, Niger",614,03,61403,,Niger,,
"Globacom, Nigeria",621,50,62150,,Nigeria,,
"Emerging Markets Telecommunication Services (Etisalat), Nigeria",621,60,62160,,Nigeria,,
"MTN, Nigeria",621,30,62130,,Nigeria,,
"Airtel, Nigeria",621,20,62120,,Nigeria,,
"CMPak, Pakistan",410,04,41004,,Pakistan,,
"Pakistan Mobile Company Limited (PMCL), Pakistan",410,01,41001,,Pakistan,,
"Warid Telecom, Pakistan",410,07,41007,,Pakistan,,
"Digicel, Panama",714,04,71404,,Panama,,
"BMobile Limited, Papua New Guinea",537,01,53701,,Papua New Guinea,,
"Globe Telecom, Phillipines",515,02,51502,,Phillipines,,
"Digital Telecommunications Phils, Phillipines",515,05,51505,,Phillipines,,
"Smart Communications, Phillipines",515,03,51503,epc.mnc003.mcc515.3gppnetwork.org,Phillipines,,
"T-Mobile Polska, Poland",260,02,26002,epc.mnc002.mcc260.3gppnetwork.org,Poland,,
"NOS – Comunicações, Portugal",268,03,26803,epc.mnc003.mcc268.3gppnetwork.org,Portugal,,
"NOS – Comunicações, Portugal",268,03,26803,epc.mnc006.mcc268.3gppnetwork.org,Portugal,,
"Vodafone, Portugal",268,01,26801,,Portugal,,
"MEO - Serviços de Comunicações e Multimédia,  Portugal",268,06,26806,,Portugal,,
"Puerto Rico Telephone Company (CLARO), Puerto Rico",330,110,330110,,Puerto Rico,,
"Ooredoo, Qatar",427,01,42701,epc.mnc001.mcc427.3gppnetwork.org,Qatar,,
"Telekom Romania Mobile Communications, Romania",226,03,22603,,Romania,,
"Vodafone, Romania",226,01,22601,,Romania,,
"OJSC VimpelCom (BEELINE), Russian Federation",250,99,25099,,Russian Federation,,
"Tele2/ECC/Volgogr, Russian Federation",250,20,25020,,Russian Federation,,
"LLC Ekaterinburg-2000 (MOTIV), Russian Federation",250,35,25035,,Russian Federation,,
"OJSC Mobile TeleSystems (MTS), Russian Federation",250,01,25001,epc.mnc001.mcc250.3gppnetwork.org,Russian Federation,,
"CJSC Baykalwestcom (BWC), Russian Federation",250,12,25012,,Russian Federation,,
"Tigo, Rwanda",635,13,63513,,Rwanda,,
"Etihad Etisalat Company MOBILY,  Saudi Arabia",420,03,42003,epc.mnc003.mcc420.3gppnetwork.org,Saudi Arabia,,
"Zain, Saudi Arabia",420,04,42004,,Saudi Arabia,,
"SONATEL (Orange), Senegal",608,01,60801,,Senegal,,
"Sentel, Senegal",608,02,60802,,Senegal,,
"Telekom Srbija MTS, Serbia",220,03,22003,,Serbia,,
"Comium, Sierra Leone",619,04,61904,,Sierra Leone,,
"Lintel Africell Sierra Leone, Sierra Leone",619,05,61905,,Sierra Leone,,
"Airtel, Sierra Leone",619,01,61901,,Sierra Leone,,
"Singapore Telecom Mobile, Singapore",525,01,52501,epc.mnc001.mcc525.3gppnetwork.org,Singapore,,
"Singapore Telecom Mobile, Singapore",525,02,52502,epc.mnc001.mcc525.3gppnetwork.org,Singapore,,
"MobileOne, Singapore",525,03,52503,epc.mnc003.mcc525.3gppnetwork.org,Singapore,,
"Slovak Telecom, Slovakia",231,02,23102,,Slovakia,,
"Mobitel, Slovenia",293,41,29341,,Slovenia,,
"Tusmobil, Slovenia",293,70,29370,,Slovenia,,
"Vodacom, South Africa",655,01,65501,,South Africa,,
"MTN, South Africa",655,10,65510,,South Africa,,
"Cell C, South Africa",655,07,65507,,South Africa,,
"SK Telecom, South Korea",450,05,45005,epc.mnc005.mcc450.3gppnetwork.org,South Korea,,
"KT, South Korea",450,02,45002,,South Korea,,
"Vodafone, Spain",214,01,21401,epc.mnc001.mcc214.3gppnetwork.org,Spain,,
"France Telecom Espana SA (Orange), Spain",214,09,21409,,Spain,,
"Orange, Spain",214,03,21403,epc.mnc003.mcc214.3gppnetwork.org,Spain,,
"Telefónica Móviles Espana, Spain",214,07,21407,,Spain,,
"MTN, Afghanistan",412,40,41240,,Afghanistan,,
"Telecom Development Company, Afganistan",412,20,41220,,Afghanistan,,
"Mobilis - Algeria Telecom Mobile, Algeria",603,01,60301,,Algeria,,
"Orascom Telecom, Algeria",603,02,60302,,Algeria,,
"Unitel, Angola",631,02,63102,,Angola,,
"Cable and Wireless, Anguilla",365,840,365840,,Anguilla,,
"Telecom Personal, Argentina",722,34,72234,,Argentina,,
"ArmenTel, Armenia",283,01,28301,,Armenia,,
"Vodafone Hutchison, Australia",505,03,50503,EPC.MNC003.MCC505.3GPPNETWORK.ORG,Australia,,
"Mobilkom, Austria",232,01,23201,epc.mnc001.mcc232.3gppnetwork.org,Austria,,
"Mobilkom, Austria",232,08,23208,epc.mnc001.mcc232.3gppnetwork.org,Austria,,
"Mobilkom, Austria",232,09,23209,epc.mnc001.mcc232.3gppnetwork.org,Austria,,
"Mobilkom, Austria",232,11,23211,epc.mnc001.mcc232.3gppnetwork.org,Austria,,
"Mobilkom, Austria",232,15,23215,epc.mnc001.mcc232.3gppnetwork.org,Austria,,
"T-Mobile, Austria",232,03,23203,,Austria,,
"T-Mobile, Austria",232,07,23207,,Austria,,
"Azerfon, Azerbaijan",400,04,40004,,Azerbaijan,,
"BTC, Bahamas",364,39,36439,,Bahamas,,
"Robi Axiata (AKTEL), Bangladesh",470,02,47002,,Bangladesh,,
"Cable and Wireless, Barbados",342,600,342600,,Barbados,,
"JLLC Mobile TeleSystems, Belarus ",257,02,25702,,Belarus,,
"Unitary enterprise velcom, Belarus",257,01,25701,,Belarus,,
"BASE Company NV/SA, Belgium",206,20,20620,epc.mnc020.mcc206.3gppnetwork.org,Belgium,,
"Mobistar, Belgium",206,10,20610,epc.mnc010.mcc206.3gppnetwork.org,Belgium,,
"Belgacom Mobile (Proximus), Belgium",206,01,20601,,Belgium,,
"Spacetel, Benin",616,03,61603,,Benin,,
"Etisalat Moov, Benin",616,02,61602,,Benin,,
"Orange, Botswana",652,02,65202,,Botswana,,
"Mascom, Botswana",652,01,65201,,Botswana,,
"Botswana Telecommunications Corporation (BTC/BeMobile), Botswana",652,04,65204,,Botswana,,
"Brasil Telecom Cellular, Brazil",724,16,72416,,Brazil,,
"Vivo, Brazil",724,06,72406,,Brazil,,
"Vivo, Brazil",724,10,72410,,Brazil,,
"Vivo, Brazil",724,11,72411,,Brazil,,
"Vivo, Brazil",724,23,72423,,Brazil,,
"Globul, Bulgaria",284,05,28405,,Bulgaria,,
"Mobiltel EAD, Bulgaria",284,01,28401,,Bulgaria,,
"U-Com SA  (Telecel), Burundi",642,82,64282,,Burundi,,
"CamGSM, Cambodia",456,01,45601,,Cambodia,,
"CADCOMMS, Cambodia",456,04,45604,,Cambodia,,
"Latelz, Cambodia",456,06,45606,,Cambodia,,
"Viettel Metfone, Cambodia",456,08,45608,,Cambodia,,
"MTN, Cameroon",624,01,62401,,Cameroon,,
"Rogers Wireless Partnership, Canada",302,720,302720,,Canada,,
"Fido Solutions, Canada",302,370,302370,,Canada,,
"Telus, Canada",302,220,302220,,Canada,,
"Bell Mobility, Canada",302,610,302610,,Canada,,
"Unitel- T Tecomm, Cape Verde",625,02,62502,,Cape Verde,,
"Cable and Wireless, Cayman Islands",346,140,346140,,Cayman Islands,,
"Tigo, Chad",622,03,62203,,Chad,,
"China Unicom, China",460,01,46001,,China,,
"Croatian Telecom (T-Mobile), Croatia",219,01,21901,,Croatia,,
"Vipnet, Croatia",219,10,21910,,Croatia,,
"Areeba (SCANCOM), Cyprus",280,10,28010,,Cyprus,,
"T-Mobile, Czech Republic",230,01,23001,,Czech Republic,,
"Vodafone, Czech Republic",230,03,23003,,Czech Republic,,
"TDC Mobil, Denmark",238,01,23801,,Denmark,,
"H3G, Denmark",238,06,23806,,Denmark,,
"Telia, Denmark",238,20,23820,epc.mnc020.mcc238.3gppnetwork.org,Denmark,,
"Telia, Denmark",238,30,23830,epc.mnc020.mcc238.3gppnetwork.org,Denmark,,
"Compania Dominicana de Teléfonos (Claro), Dominican Republic",370,02,37002,epc.mnc002.mcc370.3gppnetwork.org,Dominican Republic,,
"Cable and Wireless, Dominica",366,110,366110,,Dominica,,
"Airtel, Congo",629,01,62901,,Congo Brazzaville,,
"Vodacom, DRC",630,01,63001,,DR Congo,,
"OASIS Tigo, DRC",630,89,63089,,DR Congo,,
"Airtel, DRC",630,02,63002,,DR Congo,,
"Mobinil, Egypt",602,01,60201,,Egypt,,
"Etisalat, Egypt",602,03,60203,,Egypt,,
"Vodafone, Egypt",602,02,60202,,Egypt,,
"AS EMT, Estonia",248,01,24801,epc.mnc001.mcc248.3gppnetwork.org,Estonia,,
"Elisa, Estonia",248,02,24802,epc.mnc002.mcc248.3gppnetwork.org,Estonia,,
"Ethiopian Telecommunications Corporation, Ethiopia",636,01,63601,,Ethiopia,,
"Vodafone, Fiji",542,01,54201,,Fiji,,
"Digicel, Fiji",542,02,54202,,Fiji,,
"DNA, Finland",244,03,24403,,Finland,,
"DNA, Finland",244,12,24412,,Finland,,
"Elisa, Finland",244,05,24405,epc.mnc005.mcc244.3gppnetwork.org,Finland,,
"Elisa, Finland",244,21,24421,epc.mnc005.mcc244.3gppnetwork.org,Finland,,
"Bouygues Telecom, France",208,20,20820,epc.mnc020.mcc208.3gppnetwork.org,France,,
"Free Mobile, France",208,15,20815,,France,,
"Airtel, Gabon",628,03,62803,,Gabon,,
"Africell, Gambia",607,02,60702,,Gambia,,
"Comium, Gambia   ",607,03,60703,,Gambia   ,,
"Magticom, Georgia",282,02,28202,,Georgia,,
"E-Plus Mobilink, Germany",262,03,26203,,Germany,,
"Telekom Deutchland (T-Mobile), Germany",262,01,26201,,Germany,,
"Areeba (Scancom), Ghana",620,01,62001,,Ghana,,
"Millicom, Ghana",620,03,62003,,Ghana,,
"Mobile Telecommunications (COSMOTE), Greece",202,01,20201,epc.mnc001.mcc202.3gppnetwork.org,Greece,,
"Wind Hellas Telecommunications, Greece",202,09,20209,,Greece,,
"Wind Hellas Telecommunications, Greece",202,10,20210,,Greece,,
"Cable and Wireless, Grenada",352,110,352110,,Grenada,,
"Cellcom, Guinea",618,05,61805,,Guinea,,
"Cellcom, Guinea",618,07,61807,,Guinea,,
"Orange, Guinea",611,01,61101,,Guinea,,
"MTN, Guinea Bissau",632,02,63202,,Guinea Bissau,,
"SmarTone Mobile Communications, Hong Kong",454,06,45406,epc.mnc006.mcc454.3gppnetwork.org,Hong Kong,,
"HKT PCCW, Hong Kong",454,16,45416,epc.mnc019.mcc454.3gppnetwork.org,Hongkong,,
"HKT PCCW, Hong Kong",454,19,45419,epc.mnc019.mcc454.3gppnetwork.org,Hongkong,,
"CSL, Hong Kong",454,00,45400,epc.mnc000.mcc454.3gppnetwork.org,Hong Kong,,
"CSL, Hong Kong",454,10,45410,epc.mnc000.mcc454.3gppnetwork.org,Hong Kong,,
"CSL, Hong Kong",454,09,45409,epc.mnc000.mcc454.3gppnetwork.org,Hong Kong,,
"CSL, Hong Kong",454,02,45402,epc.mnc000.mcc454.3gppnetwork.org,Hong Kong,,
"CSL, Hong Kong",454,18,45418,epc.mnc000.mcc454.3gppnetwork.org,Hong Kong,,
"Hutchison Telecom, Hongkong",454,03,45403,,Hongkong,,
"Hutchison Telecom, Hongkong",454,04,45404,,Hongkong,,
"IMC Island ehf, Iceland",274,04,27404,,Iceland,,
"Siminn hf, Iceland",274,01,27401,,Iceland,,
"Siminn hf, Iceland",274,08,27408,,Iceland,,
"Mahanagar Telephone Nigam, India",404,68,40468,,India,,
"Mahanagar Telephone Nigam, India",404,69,40469,,India,,
"Spice Communications, India",404,44,40444,,India,,
"Spice Communications, India",404,14,40414,,India,,
"Bharat Sanchar Nigam, India",404,34,40434,,India,,
"Bharat Sanchar Nigam, India",405,74,40574,,India,,
"Loop (BPL) Mobile Communications Mumbai, India",404,21,40421,,India,,
"Vodafone Essar, India",404,11,40411,,India,,
